net,length_um
_161_,234.43
_075_,209.98
decoder.digit\[2\],197.475
decoder.digit\[0\],195.635
one_second_counter\[17\],195.17
_160_,186.01
_159_,180.46
_027_,177.05
one_second_counter\[18\],169.245
decoder.digit\[3\],164.86
_064_,161.57
_127_,160.62
_095_,156.34
_085_,155.74
one_second_counter\[16\],153.17
one_second_enable,141.405
one_second_counter\[0\],136.2
decoder.digit\[1\],135.84
one_second_counter\[12\],133.15
_155_,131.38
net8,128.88
_096_,128.62
_000_,126.2
_109_,124.48
_114_,124.08
one_second_counter\[10\],124.08
_043_,123.01
net1,122.51
one_second_counter\[9\],119.63
_138_,119.54
_024_,119.4
net7,118.75
one_second_counter\[4\],117.96
_007_,117.68
_014_,117.42
one_second_counter\[25\],115.08
one_second_counter\[8\],113
_150_,111.8
_122_,109.4
_044_,109.31
one_second_counter\[24\],107.3
_082_,106.7
one_second_counter\[1\],106.48
net4,105.92
one_second_counter\[3\],105.69
one_second_counter\[20\],105.45
one_second_counter\[13\],105.2
one_second_counter\[5\],103.72
_009_,103.52
_136_,101.63
_017_,101.06
clknet_2_2__leaf_clk,99.99
_116_,98.38
one_second_counter\[19\],95.5
one_second_counter\[11\],94.96
_067_,93.66
_137_,93.12
_033_,91.65
_066_,90.27
_100_,90.22
clknet_2_0__leaf_clk,89.52
_035_,89.34
_040_,87.01
_076_,84.43
net5,83.76
_102_,82.33
_020_,82.02
one_second_counter\[2\],80.86
one_second_counter\[6\],78.74
clknet_2_1__leaf_clk,78.5
_068_,77.88
one_second_counter\[22\],76.83
_129_,73.88
_117_,73.18
clknet_2_3__leaf_clk,72.5
_086_,72.14
_050_,71.18
_139_,70.43
_061_,70.2
_012_,68.54
_094_,68.54
_070_,68.38
_087_,67.97
_158_,67.66
_077_,67.1
one_second_counter\[15\],65.885
one_second_counter\[21\],65.53
_038_,64.87
one_second_counter\[14\],63.64
_123_,63.57
_135_,63.32
_088_,62.28
clknet_0_clk,62.16
_065_,62.02
_056_,61.94
_107_,61.56
_008_,61.16
_039_,61.1
clk,60.51
_037_,60.46
_151_,60.14
_069_,59.87
_156_,58.675
one_second_counter\[26\],58.215
_145_,58.03
_140_,57.9
_125_,57.88
_034_,57.61
_121_,57.24
_048_,56.59
_058_,56.35
_148_,55.52
_015_,53.8
_147_,53.12
_029_,51.44
_132_,51.44
_036_,51.16
_026_,51.02
_119_,50.18
_101_,50.16
_099_,49.27
_089_,48.82
_006_,47.9
_143_,47.3
_053_,46.93
_049_,46.46
_149_,45.9
_011_,45.8
_062_,45.8
_098_,45.8
_131_,45.28
_003_,44.5
_063_,43.7
_153_,43.5
_126_,43.43
_046_,42.62
_144_,42.58
_052_,42.56
_025_,41.78
_113_,41.76
_104_,41.52
_141_,40.76
_030_,40.73
_060_,40.62
_083_,40.54
_016_,40.5
_042_,39.85
_002_,39.7
_072_,39.62
_091_,39.34
_154_,39.24
one_second_counter\[7\],39
_059_,38.65
_078_,38.64
_080_,38.26
_093_,38.22
_133_,38.06
_103_,37.9
_106_,37.68
_079_,37.14
_124_,36.92
net3,36.06
_146_,35.68
_031_,34.93
_115_,34.44
_142_,33.86
_092_,32.58
_112_,32.58
_090_,31.74
_022_,30.9
net6,30.34
one_second_counter\[23\],29.92
_045_,28.68
_010_,28.4
_074_,28.16
_004_,28.14
_084_,28.08
_019_,27.86
_018_,27.06
_130_,26.88
_073_,26.32
_041_,25.57
_032_,25.14
_120_,24.08
_097_,23.22
_134_,22.82
_047_,22.78
_105_,22.7
_110_,22.4
_111_,22.1
_152_,20.14
_005_,19.98
net2,19.48
_051_,19.01
_157_,18.18
_023_,16.34
_057_,14.69
_081_,14.34
_118_,14.28
_054_,14.19
net10,13.74
_001_,13.18
_071_,12.91
_021_,12.38
net14,11.94
net9,11.02
_108_,10.94
_128_,10.78
_013_,9.9
_055_,9.53
seg[6],9.39
net13,8.96
net16,8.96
net11,8.5
net12,8.04
net15,8.04
rst,6.09
seg[0],5.97
seg[4],5.63
seg[2],5.29
seg[3],5.29
seg[1],3.93
seg[5],3.93
_028_,3.69
