net,length_um
_197_,381.33
net7,377.08
_183_,357.995
_193_,347.805
_052_,330.69
_021_,318.285
net14,311.84
_241_,304.9
net1,296.345
net2,293.49
_217_,289.445
net15,289.2
_176_,278.78
_019_,270.92
_111_,266.755
_218_,264.465
_196_,263.77
_190_,263.42
_189_,257.455
net4,257.06
_238_,250.625
net3,248.14
net19,245.72
_195_,242.835
_198_,241.3
_200_,230.64
_088_,229.78
_233_,229.68
_203_,229.64
net18,228.22
_038_,224.3
_097_,220.88
_056_,220.59
_035_,218.87
_194_,214.32
_182_,213.96
net53,212.57
net13,212.245
net12,212.22
net9,207.92
_080_,206.98
_013_,204.28
_028_,203.42
_109_,199.57
_139_,199.36
_180_,198.67
_113_,198.58
net5,196.36
net17,196.28
_114_,195.16
_227_,193.9
_060_,193.85
_027_,191.36
_055_,191.02
_123_,190.67
_092_,190.18
net11,184.5
_098_,183.4
net8,181.36
_050_,179.48
_040_,177.95
_135_,173.93
_025_,173.07
_119_,172.68
_094_,172.65
net42,169.76
_206_,168.1
_096_,167.01
net48,166.325
_155_,165.57
_130_,165.24
_132_,163.8
_204_,162.56
_093_,156.2
_224_,155.94
_120_,155.08
net10,154.8
_168_,154.77
_086_,153.28
_099_,152.65
_118_,152.26
_110_,150.54
_054_,149.76
_164_,149.56
_065_,149.16
_045_,149.15
_047_,148.76
net6,148
_006_,147.82
_137_,147.48
_185_,145.16
_075_,143.54
_023_,140.54
_063_,139.92
_161_,137.99
_070_,137.04
_167_,136.6
_162_,135.1
_226_,134.87
_122_,134.61
_147_,134.58
_166_,133.8
_095_,133.62
_141_,133.08
_066_,131.88
_051_,131.87
_030_,131.85
_072_,131.72
net33,131.62
_026_,129.68
net52,128.1
_136_,127.49
_058_,126.44
_234_,124.63
_186_,124.36
_090_,123.86
_187_,122.72
_064_,122.3
_115_,121.88
_029_,120.02
_103_,118.71
_214_,118.46
_172_,117.96
_036_,117.06
_081_,116.42
_018_,114.77
_079_,113.41
_184_,113.36
_181_,113.24
_207_,112.64
_235_,112.24
_173_,111.59
_209_,111.31
net25,111.06
_142_,109.66
_221_,109.65
_069_,107.64
_126_,107.37
_244_,106.92
net16,105.76
net44,105.7
_041_,105.2
net20,104.68
_240_,104.16
_091_,103.6
_112_,103.46
_053_,103.12
_202_,102.66
_127_,102.58
_154_,102.41
_121_,101.62
net22,100.22
_024_,97.56
_073_,97.22
_044_,96.5
_153_,96.43
_245_,94.7
_005_,94.3
_017_,93.96
_089_,93.66
_129_,92.86
_083_,92.52
_067_,91.34
_133_,90.48
_022_,90.14
_077_,90.14
_191_,89.82
_004_,88.62
_116_,88
_076_,87.16
_074_,84.78
_144_,84.68
_246_,83.2
_201_,82.99
_049_,82.96
_146_,82.94
_149_,82.86
_061_,82.62
_009_,82.34
_062_,81.76
net27,81.56
_229_,81.4
_107_,81.24
net24,81.16
_134_,80.67
_143_,79.7
_014_,79.4
_192_,79.04
_171_,78.98
_003_,77.92
_008_,77.72
_048_,77.7
net21,77.5
_084_,77.32
_163_,77.3
_012_,77
_042_,75.66
_010_,75.62
_208_,75.2
_212_,74.76
_007_,73.44
_211_,73.34
_101_,69.74
_059_,69.54
_239_,69.14
_177_,69.02
_169_,68.96
_145_,68.5
net50,67.94
_223_,67.64
_002_,67.36
net23,65.92
_031_,65.9
_082_,65.26
_117_,65.26
_243_,65.2
_071_,65
_034_,64.88
_108_,64.39
_078_,64.38
_106_,64.3
_011_,64.1
_220_,63.72
_104_,63.59
_032_,63.32
_057_,63.3
_151_,63.21
net47,62.44
_016_,62.4
net35,62.32
_152_,61.96
_138_,61.88
_178_,61.32
_068_,60.58
_140_,58.48
net31,57.34
_174_,56.96
_242_,56.6
_046_,56.08
_150_,55.68
net40,53.96
_213_,53.34
_102_,52.74
_160_,52.58
_179_,52.275
_124_,51.92
_148_,50.8
net41,50.3
_236_,49.64
_175_,48.94
_228_,47.67
net30,45.68
_170_,44.26
_015_,43.82
_128_,43.715
net46,42.62
net36,41.3
_237_,40.32
_156_,40.26
_087_,39.4
_131_,39.32
_020_,39.12
_222_,39
_216_,38.58
_037_,38.12
_165_,38.1
_033_,36.52
_225_,34.8
_001_,34.04
_000_,33.9
_157_,32.74
net39,31.5
_039_,31.44
_210_,31.04
_231_,29.78
_247_,29.72
net34,28.48
_215_,27.56
_219_,27.38
net32,27.3
_158_,25.54
net45,24.48
_125_,23.83
_043_,23.5
_188_,22.94
_085_,21.7
_199_,21.4
_100_,21.02
net29,18.96
_105_,18.5
_205_,18.42
net49,14.48
net37,12.92
net51,10.34
net26,10.2
OUT[7],9.65
OUT[1],8.51
OUT[6],8.07
_232_,6.94
B[1],6.43
A[3],6.31
B[3],6.31
opcode[2],6.31
OUT[3],6.21
A[1],6.09
A[5],6.09
opcode[1],6.09
B[5],5.97
B[7],5.97
opcode[0],5.97
OUT[5],5.53
A[6],5.41
A[0],5.07
A[2],4.95
B[2],4.95
B[6],4.95
OUT[0],4.85
OUT[2],4.85
OUT[4],4.85
A[7],4.73
A[4],4.61
B[0],4.61
B[4],4.61
net28,4.34
_230_,3.9
_159_,3.22
net38,2.3
net43,2.16
