net,length_um
_1671_,1311.52
_1171_,1302.97
_1699_,1258.095
_1697_,1236.27
clknet_0_clk,1187.31
_1712_,1183.91
_1729_,1141.405
_3555_,1137.85
_1038_,1125.825
_3628_,1122.64
_3891_,1121.65
_3007_,1104.32
_3808_,1078.83
_1716_,1067.65
_3952_,1065.46
_3711_,1056.23
_3023_,1051.9
_3927_,1049.74
_3591_,1046.32
_3664_,1040.14
_3231_,1033.88
_3093_,1028.48
clknet_3_1__leaf_clk,1025.89
_4244_,1022.18
_4072_,1021.735
_1739_,1018.55
_3880_,1016.73
_1685_,1014.495
_1717_,1008.23
_1025_,1000.17
_4216_,995.46
_3195_,991.83
_3736_,988.63
_3315_,986.27
_4025_,985.1
_1057_,983.14
_1071_,980.82
_3700_,978.45
_3602_,976.23
_3528_,973.91
_4205_,966.1
_3783_,959.7
_4169_,959.49
_2117_,958.96
_1828_,956.77
_4097_,956.02
_3989_,955.74
_3639_,943.56
_3819_,941.46
_1040_,937.545
_3267_,937.33
_3916_,935.64
_3351_,932.42
_1213_,930.305
_4000_,925.055
_4108_,922.22
_3413_,922.07
_3963_,916.13
_1078_,911.775
_3168_,905.1
_1279_,902.52
_1722_,901.465
_1719_,894.55
_1707_,893.03
_4180_,889.44
_1670_,888.555
_1189_,876.52
_1088_,874.005
_3044_,870.3
_3242_,862.47
_3278_,861.98
_3844_,859.16
_4133_,858.55
_1738_,857.9
_1214_,856.695
_1037_,856.27
_3477_,854.09
_4191_,853.21
_3675_,850.37
_1777_,842.88
_1205_,838.23
_3424_,835.74
_1259_,835.01
_3855_,834.02
_1194_,832.72
_1215_,828.37
_3157_,827.355
_3387_,826.73
_1047_,824.255
_1704_,823.99
_3304_,823.04
_1735_,819.91
_4144_,819.1
_3376_,817.36
_3206_,813.93
_1700_,813.69
_1263_,807.92
_1239_,802.16
_3114_,799.41
_1035_,797.985
_1728_,797.845
_3340_,796.99
_1713_,796.935
_1105_,791.625
_1262_,791.42
_1672_,789.67
_1193_,789.39
_1696_,787
_1686_,786.035
_3456_,785.59
_1734_,782.86
_1029_,782.25
_1187_,781.86
_3772_,780.11
_3253_,779.04
net12,777.3
_3120_,775.58
_1211_,775.36
_4036_,772.4
_1107_,771.82
_1773_,771.13
_1325_,767.45
net8,764.95
_1766_,763.24
_3472_,763.22
_3266_,760.94
_4061_,759.83
_3517_,753.76
_3902_,751.88
_1036_,751.235
_2118_,749.53
_1901_,748.83
_1028_,742.89
_1254_,742.625
_1889_,740.92
_1190_,740.55
_3474_,739.39
_3577_,738.46
_3613_,733.55
_3747_,731.76
_1073_,731.15
_1703_,727.63
_1711_,722.93
_2114_,717.23
_1693_,717.17
_1172_,715.35
_1680_,711.9
_3194_,708.99
_2051_,707.44
_1782_,707.18
net11,706.945
_1702_,705.83
_3566_,704.785
_1201_,702.05
_1192_,701.63
_2113_,701.1
_4255_,699.27
_1268_,698.32
_3065_,697.605
_1149_,694.21
_3650_,690.41
_3109_,687.87
_1203_,685.24
_1191_,681.885
_1689_,681.46
_1198_,680.43
_1291_,678.72
_3289_,677.94
_1678_,671.43
_1726_,670.01
_3722_,667.48
_1199_,666.34
_1184_,663.245
_3938_,662.02
_1195_,661.85
_1170_,659.27
_3217_,658.55
_3455_,658.37
_3830_,657.2
_3686_,656.3
_1883_,651.91
_1675_,651.86
_4119_,651.21
clknet_3_3__leaf_clk,651.09
_1324_,650.39
_1718_,647.88
_4011_,647.78
_3398_,645.26
_1673_,645.16
_3843_,644.61
_1706_,643.205
_3974_,643.085
_4047_,642.88
_3758_,642.61
_1220_,640.3
_3539_,639.35
_1705_,638.28
_1043_,637.87
_3135_,637.75
_3866_,637.47
_1287_,636.795
net1150,636.56
_1881_,632.74
_3483_,627.47
_2044_,625.48
_4168_,622.96
_4155_,622.33
_3435_,621.395
_1692_,618.47
_1745_,618.02
_3362_,617.02
net48,615.61
_1721_,615.39
_1173_,615.15
_1178_,614.37
_3554_,612.22
_1222_,612.2
_1691_,612.07
_1884_,611.28
_4227_,609.03
_1918_,608.15
_1048_,607.09
_1267_,605.9
_1175_,601.975
_3006_,597.98
_1174_,597.72
_3113_,589.41
_1066_,587.18
_1053_,585.75
_3092_,585.55
net13,580.305
_1720_,579.74
clknet_3_6__leaf_clk,579.68
_3516_,579.65
_3326_,577.81
_4204_,577.58
net47,577.06
_1050_,576.87
_3412_,574.86
net46,573.95
_3735_,573.09
_1708_,569.595
_1208_,568.33
clknet_3_4__leaf_clk,567.74
_3771_,565.57
_1674_,561.57
_1919_,559.22
_3339_,558.39
_1679_,557.08
net4,556.285
_1733_,556.05
_3303_,555.35
_1072_,555.17
_1684_,554.41
_3590_,552.47
_1723_,552.29
_1290_,552.01
_4083_,542.91
_3230_,541.65
_1352_,531.125
net94,529.755
_3794_,528.85
_3179_,528.64
_1676_,525.745
_4132_,524.66
_4060_,523.99
_1882_,521.16
_1690_,520.23
_1896_,519.115
_2053_,515.69
_3375_,514.79
_1221_,508.22
_2052_,507.26
_2050_,504.99
_1640_,504.79
_1898_,499.8
_4096_,497.63
_3879_,489.59
net17,487.93
_3807_,487.85
clknet_3_0__leaf_clk,486.64
net116,484.94
_3013_,484.34
_3627_,483.39
_1182_,481.73
_3915_,480.34
_1026_,477.75
_3022_,476.08
net9,474.67
_1183_,471.38
_1207_,469.93
_3156_,469.69
_1897_,468.07
_1219_,467.68
_1351_,463.36
_1768_,460.23
_1767_,456.12
clknet_3_2__leaf_clk,456.1
net10,456.05
_3498_,455.55
_1027_,454.84
net3,451.45
clknet_leaf_14_clk,451.28
net40,449.86
net38,449.45
_1895_,443.71
_3446_,438.94
_1041_,437.82
net115,435.42
_3500_,434.8
net39,434.65
clknet_3_5__leaf_clk,434.58
net5,434.27
net1153,433.45
_3663_,431.88
_1104_,430.81
_1044_,426.15
clknet_3_7__leaf_clk,424.76
_3448_,422.45
net18,422.22
net15,421.575
net107,421.49
_1090_,421.32
_3139_,420.82
clk,416.47
net99,416.14
_1202_,413.09
_1089_,412.78
_1822_,411.86
_3951_,411.45
_3137_,408.18
_3699_,407.63
_3083_,403.55
_4024_,403.14
_3081_,401.01
_1823_,400.6
net16,398.27
_1061_,391.14
_1681_,391.04
_3497_,389.19
_3504_,387.14
_3011_,382.49
net1149,378.84
_3487_,375.42
_1660_,374.405
net118,370.18
_3134_,369.95
_3442_,365.71
_3105_,363.54
_3502_,363.3
_1642_,362.985
_3508_,358.71
_3069_,355.06
net41,346.89
net42,345.19
_3124_,341.22
net117,338.31
_3145_,338.02
_3506_,337.91
_3064_,337.16
_2503_,335.73
_1065_,333.17
_1978_,332.49
_1701_,328.8
_3988_,325.64
_1111_,325.07
net21,321.65
net82,320.2
_1645_,315.3
_3107_,315.3
_3130_,313.34
_3075_,308.9
_1166_,307.33
net27,306.5
_1641_,303.29
_3466_,301.14
_3143_,299.5
net19,295.075
_2097_,292.04
net36,289.38
net43,287.99
_1042_,287.05
net22,286.48
_2080_,285.96
net114,285.86
_1677_,285.14
_1655_,284.37
_3097_,280.85
net95,278.12
_2015_,275.84
net72,272.2
_2160_,271.98
_3103_,270.97
_3116_,270.96
net49,269.46
_3460_,267.82
net6,266.92
_1060_,265.8
net24,263.73
net112,263.54
net113,263
_3027_,262.9
net25,262.66
_1528_,260.72
_1542_,260.13
_1181_,258.3
_2536_,254.95
net30,254.84
_1904_,254.61
_3491_,254.08
net20,253.84
net69,252.78
net26,251.71
_1923_,250.74
_3479_,250.41
_2033_,250.02
_2229_,246.94
_1779_,244.84
_1667_,243.54
_1315_,243
_2965_,242.74
_1799_,241.46
net73,239.92
net98,239.515
net29,238.16
net37,237.8
_2373_,237.455
_1384_,236.7
_2246_,235.505
net35,234.88
_3128_,234.78
_2286_,233.68
net71,232.88
_2305_,232.74
net60,232.58
_1820_,231.97
_2621_,227.7
_2421_,227.3
net14,222.19
net32,221.62
_2496_,221.43
_3458_,221.4
net74,217.76
net31,216.68
_1638_,216.565
net1,214.58
net75,214.46
_1415_,214.19
_1125_,212.84
_2595_,212.73
_2104_,211.72
net67,208.16
_2408_,207.63
_2333_,207.08
_2458_,205.6
_1957_,203.95
_1169_,203.71
_1731_,203.16
_2323_,202.08
_1370_,202
_1236_,200.81
_2426_,199.795
_1148_,199.535
_2530_,198.975
_1669_,198.38
_2105_,198.155
_2363_,198.12
net28,197.1
net81,196.78
_1144_,196.65
_1511_,195.9
_2210_,195.58
_1087_,195.165
_1145_,193.9
net68,192.86
_1480_,192.04
_2327_,190.29
net2,190.16
_3495_,190.14
_2123_,189.22
A2[0],188.57
_1167_,188.565
_1558_,188.48
_1334_,188.04
_1127_,187.89
_1147_,186.79
_2102_,186.76
_1348_,185.64
net66,185.06
clknet_leaf_75_clk,185.005
net65,182.32
clknet_leaf_34_clk,182.08
clknet_leaf_25_clk,180.72
_1996_,179.97
_1842_,179.08
_2040_,178.935
_2504_,177.735
_1839_,175.995
_1634_,175.68
_3481_,174.54
_1360_,171.03
clknet_leaf_72_clk,169.81
_1277_,169.38
_1941_,168.13
clknet_leaf_27_clk,166.26
clknet_leaf_65_clk,165.52
net23,165.415
_1216_,164.27
_2626_,164.14
_2591_,163.365
_1754_,163.045
clknet_leaf_22_clk,162.84
_2335_,161.18
clknet_leaf_16_clk,161.1
_1059_,160.1
_1085_,159
clknet_leaf_76_clk,157.56
_1083_,157.45
clknet_leaf_9_clk,156.405
_2337_,156.275
_3095_,154.78
net77,153.64
_2140_,151.73
clknet_leaf_35_clk,151.455
_2062_,151.04
_2252_,150.85
_1361_,150.63
_1874_,150.58
_1958_,149.34
clknet_leaf_21_clk,147.87
_2255_,147.485
net64,147.02
clknet_leaf_1_clk,144.52
_1942_,144.44
clknet_leaf_60_clk,144.275
