net,length_um
net1,1664.475
net2,1498.44
clk,1470.41
net3,1030.24
net14,978.94
net27,922.94
net28,916.2
net25,915.26
net29,858.9
net24,835.295
net23,821.56
net30,792.34
clknet_0_clk,776.59
net22,764.62
net31,743.3
_1728_,725.1
net32,716.98
net87,694.1
net19,688.96
net21,675.4
net20,654.755
net33,652.54
net34,629.79
_0447_,604.36
net4,593.94
net6,593.88
net5,551.7
_0441_,549.52
net18,546.57
_0551_,521.87
_0473_,514.36
net17,512.4
_0639_,506.67
_0507_,500.475
_0495_,498.58
_0712_,498.375
_0505_,496.63
net16,495.76
_0457_,485.91
net11,480.66
_0519_,474.96
net7,468.915
net10,461.21
_1835_,455.74
_0443_,450.795
_0548_,450.135
_0429_,448.74
_0483_,446.14
net15,445.96
_0452_,439.04
net8,435.03
clknet_3_6__leaf_clk,432.07
_0595_,428.38
_0571_,425.15
clknet_3_3__leaf_clk,424.44
_0539_,423.075
_0538_,422.81
_0594_,420.46
net13,420.1
clknet_3_1__leaf_clk,414.52
_0476_,409.45
_0472_,406.82
_0535_,406.78
net9,403.58
_0565_,402.54
_0426_,402.52
_0464_,402.22
_0534_,401.675
_0489_,400.285
_0552_,399.77
_0561_,398.59
_0435_,395.79
clknet_3_0__leaf_clk,395.045
clknet_3_7__leaf_clk,392.38
clknet_3_4__leaf_clk,390.9
_1751_,379.8
_0532_,376.9
_1190_,373.38
_0596_,368.55
_0673_,364.68
_0511_,357.34
_0439_,355.34
_0499_,352.335
_0456_,348.44
_0498_,347.275
_0573_,342.33
_1729_,342
_0488_,341.27
_0958_,339.83
_0531_,337.54
_0503_,335.88
clknet_3_5__leaf_clk,331.05
_1858_,330.7
_0862_,329.04
_1235_,325.11
_0660_,322.43
_1128_,318.44
_0635_,318.42
_0927_,317.91
_1836_,317.88
_0425_,317.74
_0526_,311.96
_0480_,309.92
_0853_,309.91
_0530_,308.89
net81,308.6
_0449_,308.23
_0637_,308.18
_0557_,304.7
_0527_,303.955
_0986_,303.02
_2003_,302.35
_0536_,301.32
_0636_,301.05
net12,296.52
_0650_,293.615
_1810_,289.58
_0546_,289.165
_2002_,285.06
_0528_,280.68
_1847_,278.3
_0493_,277.04
_0560_,274.565
_0663_,273.54
_0509_,269.81
_0559_,268.48
_2071_,267.19
_2070_,265.86
_0863_,262.58
clknet_3_2__leaf_clk,259.92
_0543_,259.59
_0669_,258.2
_0652_,255.42
_1329_,254.115
_1146_,249.8
_0776_,246.325
_1764_,243.36
_0533_,242.94
_0666_,242.5
_1220_,241.13
_2025_,239.84
_0653_,238.86
_1234_,238.08
_0657_,236.03
_2014_,234.21
_0542_,233.98
_0556_,233.18
_1206_,232.14
_0674_,232.1
_0492_,231.14
_1821_,230.58
_1799_,230.52
_0899_,227.04
_1112_,224.845
_2093_,220.94
_1040_,220.28
_0555_,218.24
_0438_,214.52
_1028_,211.57
_0470_,210.16
_0649_,206.48
_1205_,206.32
_0396_,205.75
_0487_,204.475
_0816_,203.9
_0434_,199.88
_1052_,199.66
_1222_,199.6
_1120_,197.44
_0939_,197.15
_0506_,192.58
_0394_,191.68
_0479_,191.66
_0834_,191.48
_1164_,188.06
_1211_,187.25
_1054_,187.22
IM.address\[4\],186.93
_0398_,184.355
_0581_,183.98
_0918_,183.84
_2082_,183.52
_0948_,183.5
_0879_,182.04
